organisation_name,town_city,county,type_rating,route,careers_website
CHENDHUR INFOTECH LTD,London,,Worker (A rating),Skilled Worker,https://www.chendhur.com/careers
MULTIPLIER TECHNOLOGIES UK LTD,London,,Worker (A rating),Skilled Worker,https://www.usemultiplier.com/careers
Rotamat Limited trading as Huber Technology,"Chippenham,",Wiltshire,Worker (A rating),Skilled Worker,
[AI] INFINITI LIMITED,Croydon,England,Worker (A rating),Skilled Worker,
0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker,
1001 AI Limited,London,,Worker (A rating),Skilled Worker,
10X Banking Technology Services Ltd,London,,Worker (A rating),Skilled Worker,https://www.10xbanking.com/careers
1416 DIGITAL LTD,London,,Worker (A rating),Skilled Worker,
1771 Technologies Limited,London,,Worker (A rating),Skilled Worker,
1st Cloud Accountants,Sunderland,Tyne and Wear,Worker (A rating),Skilled Worker,
1st Technologies Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker,
2SD Technologies Limited,London,,Worker (A rating),Skilled Worker,
345 TECHNOLOGY LIMITED,Portsmouth,,Worker (A rating),Skilled Worker,
360 Trading Networks UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
360 Trading Networks UK Limited,London,,Worker (A rating),Skilled Worker,
3A TELECOM CONSULTANCY LTD,London,,Worker (A rating),Skilled Worker,
3B DIGITAL LTD,LONDON,,Worker (A rating),Skilled Worker,
3dMD Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
3dMD Technologies Limited,London,,Worker (A rating),Skilled Worker,
3EN Cloud Ltd,Holywood,,Worker (A rating),Skilled Worker,
3Gi Technology Limited,Shenfield,,Worker (A rating),Skilled Worker,
3i Infotech (UK) Limited,London,England,Worker (A rating),Skilled Worker,https://www.3i-infotech.com/careers/
3R Technology UK Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker,
4 Net Technologies LTD (t/a FourNet),Manchester,Greater Manchester,Worker (A rating),Skilled Worker,
4-Site Power & Fibre Networks Ltd,Gosport,,Worker (A rating),Skilled Worker,
42 Technology Limited,Cambourne,Cambridge,Worker (A rating),Skilled Worker,
4A Technologies Ltd,Hayes,Middlesex,Worker (A rating),Skilled Worker,
4K Networks Ltd,London,,Worker (A rating),Skilled Worker,
4th Dimension Technology Ltd,Corsham,,Worker (A rating),Skilled Worker,
542 Digital Limited,London,,Worker (A rating),Skilled Worker,
5Y Technology Limited,Chelmsford,Essex,Worker (A rating),Skilled Worker,
6B Digital Limited,Wakefiled,West Yorkshire,Worker (A rating),Skilled Worker,
7Click Network Ltd,London,,Worker (A rating),Skilled Worker,
7Click Network Ltd,London,,Worker (A rating),Global Business Mobility: UK Expansion Worker,
7Hills Technologies Ltd,Newcastle-Under-Lyme,,Worker (A rating),Skilled Worker,
A Cloud Guru Ltd,Twickenham,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
A Cloud Guru Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
A Cloud Guru Ltd,Twickenham,,Worker (A rating),Skilled Worker,
A Cloud Guru Ltd,London,,Worker (A rating),Skilled Worker,
A K Software House Ltd,Slough,Berkshire,Worker (A rating),Skilled Worker,
A&A Technology,BASINGSTOKE,Hampshire,Worker (A rating),Skilled Worker,
A&S NETWORK ENTERPRISES LTD,London,,Worker (A rating),Skilled Worker,
A. C. Entertainment Technologies Ltd,High Wycombe,Bucks,Worker (A rating),Skilled Worker,
A.R.M TECHNOLOGIES LIMITED,Bournemouth,,Worker (A rating),Skilled Worker,
A10 Networks Limited,Theale,,Worker (A rating),Skilled Worker,https://www.a10networks.com/company/careers/
A2Z Cloud Ltd.,Salisbury,Wiltshire,Worker (A rating),Skilled Worker,
A2Z SOFTWARE SOLUTIONS LIMITED,Northamptonshire,,Worker (A rating),Skilled Worker,
A2Z Technologies Ltd,Bristol,South Gloucestershire,Worker (A rating),Skilled Worker,
AA Technology Solutions Ltd,Redhill,Surrey,Worker (A rating),Skilled Worker,
AAC Technologies (Scotland) Limited,Edinburgh,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AAC Technologies (Scotland) Limited,Edinburgh,,Worker (A rating),Skilled Worker,
Aalyria Technologies (UK) Limited,London,,Worker (A rating),Skilled Worker,
AAN TECHNOLOGIES LIMITED,NORTHWITCH,Cheshire,Worker (A rating),Skilled Worker,
AARUN SOFTWARE LIMITED,Amersham,,Worker (A rating),Skilled Worker,
AARYA TECHNOLOGIES LTD,Wokingham,,Worker (A rating),Skilled Worker,
AARYAN MOBILE AND COMPUTER SERVICES LIMITED,"London,",United Kingdom,Worker (A rating),Skilled Worker,
AASEYA SOFTWARE SERVICES (UK) LTD,Steyning,West Sussex,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee,
AASEYA SOFTWARE SERVICES (UK) LTD,Steyning,West Sussex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AASEYA SOFTWARE SERVICES (UK) LTD,Steyning,West Sussex,Worker (A rating),Skilled Worker,
AAYS Technologies UK Limited,Townfield,Rickmansworth,Worker (A rating),Skilled Worker,
Ab Initio Software Limited,Weybridge,Surrey,Worker (A rating),Skilled Worker,
AB Littlejohn & Sons LTD T/A Dental Technology Services,Glasgow,Starthclyde,Worker (A rating),Skilled Worker,
AB SOFTWARE SOLUTIONS LTD,LUTON,,Worker (A rating),Skilled Worker,
Abacus Information Technology UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Abacus Information Technology UK Limited,London,,Worker (A rating),Skilled Worker,
ABI TECHNOLOGY LIMITED,Chalfont St. Giles,England,Worker (A rating),Skilled Worker,
ABL Software Limited,Petersfield,Hampshire,Worker (A rating),Skilled Worker,
ABM DIGITAL ACCOUNTANTS LTD,Lonodn,,Worker (A rating),Skilled Worker,
Abnormal AI UK Ltd,London,,Worker (A rating),Skilled Worker,
Abrasive Technology Limited,Colwyn Bay,Wales,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Abrasive Technology Limited,Colwyn Bay,Wales,Worker (A rating),Skilled Worker,
ABSOLUTE RISK TECHNOLOGY LIMITED,NOTTINGHAM,,Worker (A rating),Skilled Worker,
ABSORB SOFTWARE UK LTD,Huntingdon,Cambridgeshire,Worker (A rating),Skilled Worker,
Academy of Live Technology Ltd,South Kirkby,West Yorkshire,Worker (A rating),Skilled Worker,
ACCEL SOFTWARE SERVICES LIMITED,GREATER MANCHESTER,,Worker (A rating),Skilled Worker,
Accentra Technologies Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Accentra Technologies Ltd,London,,Worker (A rating),Skilled Worker,
ACCESSIA TECHNOLOGY LIMITED,UXBRIDGE,,Worker (A rating),Skilled Worker,
accesso Technology Group,Ruscombe Business Park,Berkshire,Worker (A rating),Skilled Worker,
accesso Technology Group,Ruscombe Business Park,Berkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Accosoft Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Accu Technology UK Ltd,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Accu Technology UK Ltd,Oxford,,Worker (A rating),Skilled Worker,
Ace Infotech Solutions Ltd,Chadwell Heath,Essex,Worker (A rating),Skilled Worker,
Ace Software Solutions Ltd,London,London,Worker (A rating),Skilled Worker,
Ace Technologies Limited,"Newbury Park, Illford",,Worker (A rating),Skilled Worker,
ACO Technologies plc,Shefford,,Worker (A rating),Skilled Worker,
Actify Training and Technology CIC,Glasgow,Glasgow,Worker (A rating),Skilled Worker,
Acumen Software Ltd,Northampton,,Worker (A rating),Skilled Worker,
Acuvate Software Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Acuvate Software Ltd,London,,Worker (A rating),Skilled Worker,
AD Data Analytics Ltd,Peterborough,,Worker (A rating),Skilled Worker,
AD Technologies Ltd,Reading,,Worker (A rating),Skilled Worker,
Ada Digital Health Ltd,London,,Worker (A rating),Skilled Worker,
Ada Digital Health Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Adage Digital Ltd,London,London,Worker (A rating),Skilled Worker,
Adam Mathew Digital Limited,Marlborough,,Worker (A rating),Skilled Worker,
Adaptech AI LTD,London,London,Worker (A rating),Skilled Worker,
Adder Technology Limited,Cambridge,,Worker (A rating),Skilled Worker,
Adder Technology Limited,Leicester,Leicestershire,Worker (A rating),Skilled Worker,
Address Intelligence Technologies Limited,London,,Worker (A rating),Skilled Worker,
Adelante Software Ltd,Maidenhead,Berkshire,Worker (A rating),Skilled Worker,
Adex International Technologies Ltd,Folkestone,Kent,Worker (A rating),Skilled Worker,
ADI TECHNOLOGY LIMITED,Basingstoke,Hampshire,Worker (A rating),Skilled Worker,
Adjust Software Limited,Watford,,Worker (A rating),Skilled Worker,
Adjust Software Limited,Watford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ADM COMPUTING,CANTERBURY,KENT,Worker (A rating),Skilled Worker,
ADMISSION NETWORK LTD,London,,Worker (A rating),Skilled Worker,
Adsum Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Adtran Networks (UK) Limited,York,North Yorkshire,Worker (A rating),Skilled Worker,
ADVANCE AI LTD,Abbotsley,Cambridgeshire,Worker (A rating),Skilled Worker,
ADVANCE AI LTD,Abbotsley,Cambridgeshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
ADVANCE COLLEGE OF BUSINESS AND TECHNOLOGY LIMITED,London,,Worker (A rating),Skilled Worker,
ADVANCE WATER TREATMENT TECHNOLOGIES LIMITED,Leighton Buzzard,,Worker (A rating),Skilled Worker,
Advance Web Software Ltd,London,England,Worker (A rating),Global Business Mobility: UK Expansion Worker,
ADVANCED DESIGN TECHNOLOGY LIMITED,LONDON,,Worker (A rating),Skilled Worker,
Advanced Infrastructure Technology Limited,Nantwich,,Worker (A rating),Skilled Worker,
Advanced Secure Technologies Ltd,Cardiff,South Glamorgan,Worker (A rating),Skilled Worker,
ADVANCED TECHNOLOGY FOR INFORMATION SYSTEMS SOLUTIONS UK LIMITED (15373821),ENGLAND,,Worker (A rating),Global Business Mobility: UK Expansion Worker,
Advanced Technology Services UK Limited,London,,Worker (A rating),Skilled Worker,
Advanced Vision Technology Limited,Marlow,Buckinghamshire,Worker (A rating),Skilled Worker,
Advanced Visualisation Technologies Ltd T/A Digital Autopsy UK,Sheffield,,Worker (A rating),Skilled Worker,
Advantex Network Solutions Limited,Gateshead,Tyne and Wear,Worker (A rating),Skilled Worker,
Advent Data Solutions Ltd,Stanmore,Middlesex,Worker (A rating),Skilled Worker,
Advice Cloud Limited,Brighton,East Sussex,Worker (A rating),Skilled Worker,
ADZ NETWORK LTD T/A Chillies Tandoori,London,,Worker (A rating),Skilled Worker,
AECOM ENGINEERING TECHNOLOGY SERVICES LTD,London,,Worker (A rating),Skilled Worker,
AEG Technologies Limited T/A Connect,London,,Worker (A rating),Skilled Worker,
Aera Technology Limited,London,,Worker (A rating),Skilled Worker,
Aerospace Technology Institute,London,,Worker (A rating),Skilled Worker,
Aesthetic Technology Ltd,Warrington,Cheshire,Worker (A rating),Skilled Worker,
Afferent Software Limited,Brighton,,Worker (A rating),Skilled Worker,
Affiniti AI Limited,London,,Worker (A rating),Skilled Worker,
Affluent Technology Limited,Coventry,West Midlands,Worker (A rating),Skilled Worker,
Afiniti Europe Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Afiniti Europe Technologies Limited,London,,Worker (A rating),Skilled Worker,
Afon Technology Ltd,Caldicot,Monmouthshire,Worker (A rating),Skilled Worker,
African Culture Arts and Sport Network,Romford,Essex,Temporary Worker (A rating),Creative Worker,
AFX Mixing and Pumping Technologies Ltd,Poole,Dorset,Worker (A rating),Skilled Worker,
AG Technologies LTD,London,,Worker (A rating),Skilled Worker,
AGEMO AI LTD,Cheshire,,Worker (A rating),Skilled Worker,
AGENCY SOFTWARE WORLDWIDE LTD,HADLOW,TONBRIDGE,Worker (A rating),Skilled Worker,
Agent Software Limited,Manchester,,Worker (A rating),Skilled Worker,
Agile and IT Digital Services Limited,Brentford,,Worker (A rating),Skilled Worker,
Agile Cyber Solutions Limited,London,,Worker (A rating),Skilled Worker,
AGILE SOFTWARE SYSTEMS LTD,Colchester,essex,Worker (A rating),Skilled Worker,
AGILENT TECHNOLOGIES LDA UK LIMITED,Cheshire,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AGILENT TECHNOLOGIES LDA UK LIMITED,Cheshire,,Worker (A rating),Skilled Worker,
Agilico Workplace Technologies,London,,Worker (A rating),Skilled Worker,
Agilio Software Bidco Ltd.,Sheffield,,Worker (A rating),Skilled Worker,
Agilio Software Bidco Ltd.,Sheffield,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Agio AI UK Limited,Belfast,,Worker (A rating),Skilled Worker,
Agoe Empowerment Network CIO,LONDON,WANDSWORTH,Temporary Worker (A rating),Charity Worker,
Agreena Technology Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Agreena Technology Limited,London,,Worker (A rating),Skilled Worker,
AGS Cyber,London,,Worker (A rating),Skilled Worker,
AH Technology Ltd,London,,Worker (A rating),Skilled Worker,
AH technology Ltd t/a Klyk,London,,Worker (A rating),Skilled Worker,
AI & CO LTD TA Flying Horse Restaurant,Markfield,,Worker (A rating),Skilled Worker,
AI Agency Group LTD T/A Apply AI,London,,Worker (A rating),Skilled Worker,
Ai Beauty LTD,London,,Worker (A rating),Skilled Worker,
AI BUILD LIMITED,LONDON,ENGLAND,Worker (A rating),Skilled Worker,
AI Computing Ltd,Ilford,,Worker (A rating),Skilled Worker,
AI CORPORATE LIMITED,Wednesbury,,Worker (A rating),Skilled Worker,
AI DATA LABS LTD,London,,Worker (A rating),Skilled Worker,
AI Digital Limited,Lincoln,,Worker (A rating),Skilled Worker,
AI Dizital Solutions LTD,Slough,Berkshire,Worker (A rating),Skilled Worker,
AI Exploration Ltd,Westhill,,Worker (A rating),Skilled Worker,
AI FM LTD,Hounslow,,Worker (A rating),Skilled Worker,
AI Foods Ltd,Birmingham,,Worker (A rating),Skilled Worker,
AI GEAR LTD,"Dundee, Scotland",,Worker (A rating),Skilled Worker,
AI MARKET LTD,London,England,Worker (A rating),Skilled Worker,
AI Pathfinder Inc Limited,London,,Worker (A rating),Skilled Worker,
Ai Process Systems Ltd,Barrowford,Lancashire,Worker (A rating),Skilled Worker,
AI Recruitment Technologies Limited,Knowsley,Merseyside,Worker (A rating),Skilled Worker,
AI Restaurants Ltd,Birmingham,,Worker (A rating),Skilled Worker,
Ai Tea Drinks Limited,Huddersfield,,Worker (A rating),Skilled Worker,
AI Tech Ltd,London,,Worker (A rating),Skilled Worker,
AI-Media UK B Ltd,London,,Worker (A rating),Skilled Worker,
AI-Media UK B Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AI-PRIORI LTD,Burton on Trent,,Worker (A rating),Skilled Worker,
Aico Software Limited,Warwick,,Worker (A rating),Skilled Worker,
AIDEM TECHNOLOGIES LTD,London,,Worker (A rating),Skilled Worker,
AIDEM TECHNOLOGIES LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
Aigo Digital Repairs,Manchester,,Worker (A rating),Skilled Worker,
AIMPOINT DIGITAL UK LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,
AIMPOINT DIGITAL UK LIMITED,London,,Worker (A rating),Skilled Worker,
Aionex Technologies Ltd,London,,Worker (A rating),Skilled Worker,
Aios Technology Ltd,Nottingham,Nottinghamshire,Worker (A rating),Skilled Worker,
Air Technology Systems Ltd,Bromsgrove,West Midlands,Worker (A rating),Skilled Worker,
Aira Digital Limited,Milton Keynes,Buckinghamshire,Worker (A rating),Skilled Worker,
Airex Technologies Ltd,London,London,Worker (A rating),Skilled Worker,
Airportr Technologies Ltd,London,,Worker (A rating),Skilled Worker,
