organisation_name,town_city,county,type_rating,route,company_website
CHENDHUR INFOTECH LTD,London,,Worker (A rating),Skilled Worker,https://chendhur.com
MULTIPLIER TECHNOLOGIES UK LTD,London,,Worker (A rating),Skilled Worker,https://www.usemultiplier.com
Rotamat Limited trading as Huber Technology,"Chippenham,",Wiltshire,Worker (A rating),Skilled Worker,https://www.huber-se.com
[AI] INFINITI LIMITED,Croydon,England,Worker (A rating),Skilled Worker,https://aiinfiniti.com
0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker,https://0xa.co.uk
1001 AI Limited,London,,Worker (A rating),Skilled Worker,https://licensed-sponsors-uk.com
10X Banking Technology Services Ltd,London,,Worker (A rating),Skilled Worker,https://www.10xbanking.com
1416 DIGITAL LTD,London,,Worker (A rating),Skilled Worker,https://themanifest.com
1771 Technologies Limited,London,,Worker (A rating),Skilled Worker,https://www.1771technologies.com
1st Cloud Accountants,Sunderland,Tyne and Wear,Worker (A rating),Skilled Worker,https://www.1stcloudaccountants.co.uk
1st Technologies Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker,https://www.1st-tech.co.uk
2SD Technologies Limited,London,,Worker (A rating),Skilled Worker,https://open.endole.co.uk
345 TECHNOLOGY LIMITED,Portsmouth,,Worker (A rating),Skilled Worker,https://345.technology
360 Trading Networks UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://www.360t.com
3A TELECOM CONSULTANCY LTD,London,,Worker (A rating),Skilled Worker,https://www.3aconsultancy.net
3B DIGITAL LTD,LONDON,,Worker (A rating),Skilled Worker,https://www.3bweb.com
3dMD Technologies Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://3dmd.com
3EN Cloud Ltd,Holywood,,Worker (A rating),Skilled Worker,https://3en.group
3Gi Technology Limited,Shenfield,,Worker (A rating),Skilled Worker,https://www.3gi.co.uk
3i Infotech (UK) Limited,London,England,Worker (A rating),Skilled Worker,https://www.3i-infotech.com
3R Technology UK Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker,https://www.3rtechglobal.com
4 Net Technologies LTD (t/a FourNet),Manchester,Greater Manchester,Worker (A rating),Skilled Worker,https://fournet.co.uk
4-Site Power & Fibre Networks Ltd,Gosport,,Worker (A rating),Skilled Worker,https://open.endole.co.uk
42 Technology Limited,Cambourne,Cambridge,Worker (A rating),Skilled Worker,https://www.medicaltechnologyuk.com
4A Technologies Ltd,Hayes,Middlesex,Worker (A rating),Skilled Worker,http://4atechnologies.com
4K Networks Ltd,London,,Worker (A rating),Skilled Worker,https://www.tvunetworks.com
4th Dimension Technology Ltd,Corsham,,Worker (A rating),Skilled Worker,https://www.4th-dimension.co.uk
542 Digital Limited,London,,Worker (A rating),Skilled Worker,https://www.mad.uk.com
5Y Technology Limited,Chelmsford,Essex,Worker (A rating),Skilled Worker,https://5ytechnology.com
6B Digital Limited,Wakefiled,West Yorkshire,Worker (A rating),Skilled Worker,https://6b.digital
7Click Network Ltd,London,,Worker (A rating),Skilled Worker,https://7click.com
7Hills Technologies Ltd,Newcastle-Under-Lyme,,Worker (A rating),Skilled Worker,https://7hillstechnologies.co.uk
A Cloud Guru Ltd,Twickenham,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,https://production-ng-school.acloud.guru
A K Software House Ltd,Slough,Berkshire,Worker (A rating),Skilled Worker,https://aksoftwareservicesltd.co.uk
A&A Technology,BASINGSTOKE,Hampshire,Worker (A rating),Skilled Worker,https://www.dnb.com
A&S NETWORK ENTERPRISES LTD,London,,Worker (A rating),Skilled Worker,https://asnetworkenterprises.co.uk
A. C. Entertainment Technologies Ltd,High Wycombe,Bucks,Worker (A rating),Skilled Worker,https://www.ac-et.com
A.R.M TECHNOLOGIES LIMITED,Bournemouth,,Worker (A rating),Skilled Worker,https://www.armtechnologies.ltd
